,Lan,CUI,P,LUI,PF,SUI,name
5894232,ENG,C2536240,P,L8239207,PF,S10553397,"Bypass Left Internal Iliac Artery to Right External Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
5894241,ENG,C2536243,P,L8239727,PF,S10553508,"Bypass Left Internal Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
5894257,ENG,C2536249,P,L8314541,PF,S10553685,"Bypass Left Internal Iliac Artery to Right Internal Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
5894266,ENG,C2536252,P,L8425608,PF,S10553463,"Bypass Left Internal Iliac Artery to Right External Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
5894275,ENG,C2536255,P,L8426097,PF,S10553574,"Bypass Left Internal Iliac Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
5894291,ENG,C2536261,P,L8389220,PF,S10553663,"Bypass Left Internal Iliac Artery to Right Internal Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5894300,ENG,C2536264,P,L8462514,PF,S10553441,"Bypass Left Internal Iliac Artery to Right External Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5894309,ENG,C2536267,P,L8389204,PF,S10553552,"Bypass Left Internal Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5894325,ENG,C2536273,P,L8277193,PF,S10553708,"Bypass Left Internal Iliac Artery to Right Internal Iliac Artery, Percutaneous Endoscopic Approach"
5894334,ENG,C2536276,P,L8462522,PF,S10553486,"Bypass Left Internal Iliac Artery to Right External Iliac Artery, Percutaneous Endoscopic Approach"
5894343,ENG,C2536279,P,L8426100,PF,S10553597,"Bypass Left Internal Iliac Artery to Right Femoral Artery, Percutaneous Endoscopic Approach"
5894361,ENG,C2536287,P,L8501961,PF,S10566763,"Bypass Right External Iliac Artery to Right Internal Iliac Artery with Autologous Venous Tissue, Open Approach"
5894364,ENG,C2536288,P,L8462509,PF,S10566319,"Bypass Right External Iliac Artery to Left Internal Iliac Artery with Autologous Venous Tissue, Open Approach"
5894367,ENG,C2536289,P,L8501862,PF,S10565874,"Bypass Right External Iliac Artery to Bilateral Internal Iliac Arteries with Autologous Venous Tissue, Open Approach"
5894395,ENG,C2536299,P,L8427736,PF,S10566741,"Bypass Right External Iliac Artery to Right Internal Iliac Artery with Autologous Arterial Tissue, Open Approach"
5894398,ENG,C2536300,P,L8425596,PF,S10566297,"Bypass Right External Iliac Artery to Left Internal Iliac Artery with Autologous Arterial Tissue, Open Approach"
5894401,ENG,C2536301,P,L8390721,PF,S10565852,"Bypass Right External Iliac Artery to Bilateral Internal Iliac Arteries with Autologous Arterial Tissue, Open Approach"
5894429,ENG,C2536311,P,L8427747,PF,S10566808,"Bypass Right External Iliac Artery to Right Internal Iliac Artery with Synthetic Substitute, Open Approach"
5894432,ENG,C2536312,P,L8276661,PF,S10566364,"Bypass Right External Iliac Artery to Left Internal Iliac Artery with Synthetic Substitute, Open Approach"
5894435,ENG,C2536313,P,L8464492,PF,S10565919,"Bypass Right External Iliac Artery to Bilateral Internal Iliac Arteries with Synthetic Substitute, Open Approach"
5894463,ENG,C2536323,P,L8353613,PF,S10566785,"Bypass Right External Iliac Artery to Right Internal Iliac Artery with Nonautologous Tissue Substitute, Open Approach"
5894466,ENG,C2536324,P,L8314050,PF,S10566341,"Bypass Right External Iliac Artery to Left Internal Iliac Artery with Nonautologous Tissue Substitute, Open Approach"
5894469,ENG,C2536325,P,L8241243,PF,S10565896,"Bypass Right External Iliac Artery to Bilateral Internal Iliac Arteries with Nonautologous Tissue Substitute, Open Approach"
5894497,ENG,C2536335,P,L8464593,PF,S10566830,"Bypass Right External Iliac Artery to Right Internal Iliac Artery, Open Approach"
5894500,ENG,C2536336,P,L8425610,PF,S10566386,"Bypass Right External Iliac Artery to Left Internal Iliac Artery, Open Approach"
5894503,ENG,C2536337,P,L8390733,PF,S10565941,"Bypass Right External Iliac Artery to Bilateral Internal Iliac Arteries, Open Approach"
5894532,ENG,C2536348,P,L8501962,PF,S10566774,"Bypass Right External Iliac Artery to Right Internal Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
5894535,ENG,C2536349,P,L8425601,PF,S10566330,"Bypass Right External Iliac Artery to Left Internal Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
5894538,ENG,C2536350,P,L8316140,PF,S10565885,"Bypass Right External Iliac Artery to Bilateral Internal Iliac Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
5894566,ENG,C2536360,P,L8278809,PF,S10566752,"Bypass Right External Iliac Artery to Right Internal Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
5894569,ENG,C2536361,P,L8239207,PF,S10566308,"Bypass Right External Iliac Artery to Left Internal Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
5894572,ENG,C2536362,P,L8241239,PF,S10565863,"Bypass Right External Iliac Artery to Bilateral Internal Iliac Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
5894600,ENG,C2536372,P,L8241339,PF,S10566819,"Bypass Right External Iliac Artery to Right Internal Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
5894603,ENG,C2536373,P,L8425608,PF,S10566375,"Bypass Right External Iliac Artery to Left Internal Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
5894606,ENG,C2536374,P,L8316146,PF,S10565930,"Bypass Right External Iliac Artery to Bilateral Internal Iliac Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach"
5894634,ENG,C2536384,P,L8501965,PF,S10566796,"Bypass Right External Iliac Artery to Right Internal Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5894637,ENG,C2536385,P,L8462514,PF,S10566352,"Bypass Right External Iliac Artery to Left Internal Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5894640,ENG,C2536386,P,L8353489,PF,S10565907,"Bypass Right External Iliac Artery to Bilateral Internal Iliac Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5894668,ENG,C2536396,P,L8241341,PF,S10566841,"Bypass Right External Iliac Artery to Right Internal Iliac Artery, Percutaneous Endoscopic Approach"
5894671,ENG,C2536397,P,L8462522,PF,S10566397,"Bypass Right External Iliac Artery to Left Internal Iliac Artery, Percutaneous Endoscopic Approach"
5894674,ENG,C2536398,P,L8353495,PF,S10565952,"Bypass Right External Iliac Artery to Bilateral Internal Iliac Arteries, Percutaneous Endoscopic Approach"
5894704,ENG,C2536410,P,L8462509,PF,S10549476,"Bypass Left External Iliac Artery to Right Internal Iliac Artery with Autologous Venous Tissue, Open Approach"
5894707,ENG,C2536411,P,L8499775,PF,S10549031,"Bypass Left External Iliac Artery to Left Internal Iliac Artery with Autologous Venous Tissue, Open Approach"
5894710,ENG,C2536412,P,L8499716,PF,S10548587,"Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries with Autologous Venous Tissue, Open Approach"
5894713,ENG,C2536413,P,L8239178,PF,S10549253,"Bypass Left External Iliac Artery to Right External Iliac Artery with Autologous Venous Tissue, Open Approach"
5894722,ENG,C2536416,P,L8314030,PF,S10549365,"Bypass Left External Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach"
5894738,ENG,C2536422,P,L8425596,PF,S10549453,"Bypass Left External Iliac Artery to Right Internal Iliac Artery with Autologous Arterial Tissue, Open Approach"
5894741,ENG,C2536423,P,L8276598,PF,S10549008,"Bypass Left External Iliac Artery to Left Internal Iliac Artery with Autologous Arterial Tissue, Open Approach"
5894744,ENG,C2536424,P,L8462400,PF,S10548564,"Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries with Autologous Arterial Tissue, Open Approach"
5894747,ENG,C2536425,P,L8499794,PF,S10549230,"Bypass Left External Iliac Artery to Right External Iliac Artery with Autologous Arterial Tissue, Open Approach"
5894756,ENG,C2536428,P,L8499804,PF,S10549341,"Bypass Left External Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach"
5894772,ENG,C2536434,P,L8276661,PF,S10549520,"Bypass Left External Iliac Artery to Right Internal Iliac Artery with Synthetic Substitute, Open Approach"
5894775,ENG,C2536435,P,L8425554,PF,S10549075,"Bypass Left External Iliac Artery to Left Internal Iliac Artery with Synthetic Substitute, Open Approach"
5894778,ENG,C2536436,P,L8313933,PF,S10548631,"Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries with Synthetic Substitute, Open Approach"
5894781,ENG,C2536437,P,L8276641,PF,S10549297,"Bypass Left External Iliac Artery to Right External Iliac Artery with Synthetic Substitute, Open Approach"
5894790,ENG,C2536440,P,L8388707,PF,S10549409,"Bypass Left External Iliac Artery to Right Femoral Artery with Synthetic Substitute, Open Approach"
5894806,ENG,C2536446,P,L8314050,PF,S10549498,"Bypass Left External Iliac Artery to Right Internal Iliac Artery with Nonautologous Tissue Substitute, Open Approach"
5894809,ENG,C2536447,P,L8276606,PF,S10549053,"Bypass Left External Iliac Artery to Left Internal Iliac Artery with Nonautologous Tissue Substitute, Open Approach"
5894812,ENG,C2536448,P,L8462407,PF,S10548609,"Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries with Nonautologous Tissue Substitute, Open Approach"
5894815,ENG,C2536449,P,L8239184,PF,S10549275,"Bypass Left External Iliac Artery to Right External Iliac Artery with Nonautologous Tissue Substitute, Open Approach"
5894824,ENG,C2536452,P,L8499811,PF,S10549387,"Bypass Left External Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach"
5894840,ENG,C2536458,P,L8425610,PF,S10549542,"Bypass Left External Iliac Artery to Right Internal Iliac Artery, Open Approach"
5894843,ENG,C2536459,P,L8462471,PF,S10549097,"Bypass Left External Iliac Artery to Left Internal Iliac Artery, Open Approach"
5894846,ENG,C2536460,P,L8499725,PF,S10548653,"Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries, Open Approach"
5894849,ENG,C2536461,P,L8388694,PF,S10549319,"Bypass Left External Iliac Artery to Right External Iliac Artery, Open Approach"
5894858,ENG,C2536464,P,L8351445,PF,S10549431,"Bypass Left External Iliac Artery to Right Femoral Artery, Open Approach"
5894875,ENG,C2536471,P,L8425601,PF,S10549487,"Bypass Left External Iliac Artery to Right Internal Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
5894878,ENG,C2536472,P,L8499777,PF,S10549042,"Bypass Left External Iliac Artery to Left Internal Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
5894881,ENG,C2536473,P,L8499718,PF,S10548598,"Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
5894884,ENG,C2536474,P,L8276632,PF,S10549264,"Bypass Left External Iliac Artery to Right External Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
5894893,ENG,C2536477,P,L8314034,PF,S10549376,"Bypass Left External Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
5894909,ENG,C2536483,P,L8239207,PF,S10549464,"Bypass Left External Iliac Artery to Right Internal Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
5900025,ENG,C2542851,P,L8276602,PF,S10549019,"Bypass Left External Iliac Artery to Left Internal Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
5900028,ENG,C2542852,P,L8388616,PF,S10548575,"Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
5900031,ENG,C2542853,P,L8314007,PF,S10549241,"Bypass Left External Iliac Artery to Right External Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
5900040,ENG,C2542856,P,L8351432,PF,S10549352,"Bypass Left External Iliac Artery to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
5900056,ENG,C2542862,P,L8425608,PF,S10549531,"Bypass Left External Iliac Artery to Right Internal Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
5900059,ENG,C2542863,P,L8388666,PF,S10549086,"Bypass Left External Iliac Artery to Left Internal Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
5900062,ENG,C2542864,P,L8388625,PF,S10548642,"Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach"
5900065,ENG,C2542865,P,L8239190,PF,S10549308,"Bypass Left External Iliac Artery to Right External Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
5900074,ENG,C2542868,P,L8499816,PF,S10549420,"Bypass Left External Iliac Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
5900090,ENG,C2542874,P,L8462514,PF,S10549509,"Bypass Left External Iliac Artery to Right Internal Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5900093,ENG,C2542875,P,L8351401,PF,S10549064,"Bypass Left External Iliac Artery to Left Internal Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5900096,ENG,C2542876,P,L8239096,PF,S10548620,"Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5900099,ENG,C2542877,P,L8314013,PF,S10549286,"Bypass Left External Iliac Artery to Right External Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5900108,ENG,C2542880,P,L8351439,PF,S10549398,"Bypass Left External Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5900124,ENG,C2542886,P,L8462522,PF,S10549553,"Bypass Left External Iliac Artery to Right Internal Iliac Artery, Percutaneous Endoscopic Approach"
5900127,ENG,C2542887,P,L8313987,PF,S10549108,"Bypass Left External Iliac Artery to Left Internal Iliac Artery, Percutaneous Endoscopic Approach"
5900130,ENG,C2542888,P,L8462414,PF,S10548664,"Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries, Percutaneous Endoscopic Approach"
5900133,ENG,C2542889,P,L8314022,PF,S10549330,"Bypass Left External Iliac Artery to Right External Iliac Artery, Percutaneous Endoscopic Approach"
5900142,ENG,C2542892,P,L8425590,PF,S10549442,"Bypass Left External Iliac Artery to Right Femoral Artery, Percutaneous Endoscopic Approach"
5900442,ENG,C2543003,P,L8351666,PF,S10551142,"Bypass Left Femoral Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach"
5900470,ENG,C2543013,P,L8500033,PF,S10551119,"Bypass Left Femoral Artery to Right Femoral Artery with Autologous Arterial Tissue, Open Approach"
5900498,ENG,C2543023,P,L8425818,PF,S10551186,"Bypass Left Femoral Artery to Right Femoral Artery with Synthetic Substitute, Open Approach"
5900526,ENG,C2543033,P,L8314243,PF,S10551164,"Bypass Left Femoral Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach"
5900554,ENG,C2543043,P,L8388934,PF,S10551208,"Bypass Left Femoral Artery to Right Femoral Artery, Open Approach"
5900581,ENG,C2543054,P,L8314241,PF,S10551153,"Bypass Left Femoral Artery to Right Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
5900609,ENG,C2543064,P,L8239399,PF,S10551130,"Bypass Left Femoral Artery to Right Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
5900637,ENG,C2543074,P,L8500043,PF,S10551197,"Bypass Left Femoral Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
5900665,ENG,C2543084,P,L8500039,PF,S10551175,"Bypass Left Femoral Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
5900693,ENG,C2543094,P,L8500045,PF,S10551219,"Bypass Left Femoral Artery to Right Femoral Artery, Percutaneous Endoscopic Approach"
5909064,ENG,C2551129,P,L8415076,PF,S10464092,"Physical Rehabilitation and Diagnostic Audiology @ Rehabilitation @ Caregiver Training @ None @ Application, Proper Use and Care of Prosthesis @ Orthosis"
5938893,ENG,C2584295,P,L0040515,PF,S1240474,Touching
5938954,ENG,C2584325,P,L1807886,PF,S10292040,Skin of trunk and back
5939334,ENG,C2584485,P,L5555934,PF,S10603800,Benzodioxole
5939356,ENG,C2584493,P,L0001132,PF,S10606267,Heterocyclic acid
5939893,ENG,C2584674,P,L0007007,PF,S10603946,Carboline
5939979,ENG,C2584702,P,L0025700,PF,S0006586,Methyl ether
5941055,ENG,C2585070,P,L1117413,PF,S10608417,Private referral to
5941113,ENG,C2585091,P,L0022214,PF,S10606735,Isonipecotic acid
5941266,ENG,C2585148,P,L1394039,PF,S10611231,Victim of robbery
5941304,ENG,C2585161,P,L0237301,PF,S10604400,Craniectomy and excision of cerebellopontine angle tumor
5941347,ENG,C2585173,P,L0789746,PF,S10604239,Collection of specimen by device
5941501,ENG,C2585225,P,L0005084,PF,S1211585,benzothiadiazine
5942193,ENG,C2585482,P,L0004471,PF,S10611084,Aza compound
5942289,ENG,C2585524,P,L0034927,PF,S10608777,Referral for
5942484,ENG,C2585587,P,L1355013,PF,S10609179,Sampling of vaginal vault for smear
5943526,ENG,C2585972,P,L1117413,PF,S10608413,Private referral by
5943889,ENG,C2586096,P,L1117413,PF,S10608415,Private referral for
5944073,ENG,C2586169,P,L0012032,PF,S1431387,dibenzocycloheptene
5944371,ENG,C2586298,P,L0020327,PF,S1425310,hydroxybenzoic acid
5945608,ENG,C2587195,P,L2411463,PF,S7447636,I Antigen:Arbitrary Concentration:Point in time:Erythrocytes^Donor:Ordinal
5948004,ENG,C2598821,P,L6696160,PF,S10621009,Glutathione.reduced/glutathione.oxidized
5949074,ENG,C2599181,P,L1846081,PF,S10669528,Cells.CD3-CD56+:NCnc:Pt:Bld:Qn
5950132,ENG,C2599648,P,L6073320,PF,S10638941,Amylase & Creatinine clearance panel
5950191,ENG,C2599747,P,L5524313,PF,S10676810,Discharge location
5950213,ENG,C2599773,P,L1722684,PF,S10669532,Cells.CD3-CD7+/100 cells
5950493,ENG,C2603343,P,L1118915,PF,S1342341,Study
5951632,ENG,C2604006,P,L2337771,PF,S10694803,"HOPS protein, mouse"
5951891,ENG,C2604154,P,L8597690,PF,S10699396,(-)-cyanthiwigin F
5952465,ENG,C2604524,P,L1134815,PF,S10695170,LS 104
5953407,ENG,C2605091,P,L8600736,PF,S10699521,"mirnlet7e microRNA, human"
5953580,ENG,C2605193,P,L8598066,PF,S10693259,"1,3-dimyristoyl-2-stearoyl-sn-glycerol"
5954967,ENG,C2606053,P,L8602884,PF,S10694149,1-myristoyl-2-oleoyl-sn-glycero-3-phosphocholine
5955523,ENG,C2606368,P,L1861661,PF,S10697841,(Ru(bpy)3)Cl2
5955997,ENG,C2606633,P,L1185918,PF,S10700005,polynorbornene
5956133,ENG,C2606702,P,L8603138,PF,S10699821,"3beta-acetoxy-2,19-dihydroxy-11,12-epoxy-ursan-28,13beta-olide"
5956358,ENG,C2606840,P,L2298757,PF,S10699163,3-hydroxy-2-nitropyridine
5956493,ENG,C2606925,P,L2683210,PF,S10697638,"ab protein, Drosophila"
5956954,ENG,C2607210,P,L2681942,PF,S10697149,"2E,4E-octadienal"
5957281,ENG,C2607400,P,L6189151,PF,S10693974,1-butyl-8-(3-noradamantyl)-3-(3-hydroxypropyl)xanthine
5958097,ENG,C2607839,P,L10827404,PF,S13453665,Insulin^pre or post dose glucose:SCnc:Pt:Ser/Plas:Qn
5958209,ENG,C2607880,P,L0281361,PF,S0603717,Blood group antigen p
5958314,ENG,C2607923,P,L0228480,PF,S0303600,Stripping of vocal cords
5958406,ENG,C2607938,P,L8872949,PF,S11025954,Deprecated CD16+CD57+ cells/100 cells in Blood
5958542,ENG,C2607994,P,L13716122,PF,S16738862,Views:Find:Pt:Lower extremity.left>Hip:Doc:XR
5958603,ENG,C2608033,P,L2560603,PF,S8980789,Bacillus sp. CR1.2
5958700,ENG,C2608065,P,L5739577,PF,S8936195,Leptothrix sp. S1-1
5958701,ENG,C2608066,P,L5260387,PF,S6585943,Morganella sp. TR 90
5958703,ENG,C2608068,P,L5749764,PF,S8956273,Pseudomonas sp. 7.5
5958779,ENG,C2608092,P,L6627495,PF,S8963388,Arthrobacter sp. 18-1
5958814,ENG,C2608101,P,L7749358,PF,S8989248,Adineta sp. AN.3.2
5958815,ENG,C2608102,P,L5250377,PF,S8981355,Bacillus sp. NS2.1
5958816,ENG,C2608103,P,L5250040,PF,S8980053,Bacillus sp. 2-1
5958927,ENG,C2608188,P,L5925485,PF,S17909116,menthol/cetylpyridinium chloride 4.5 mg MUCOUS MEM LOZENGE
5959082,ENG,C2608293,P,L0873452,PF,S11793860,Nasal Sprays
5959093,ENG,C2608297,P,L5929350,PF,S10704938,Non-Drowsy Daytime
5959172,ENG,C2608487,P,L0010137,PF,S10704222,Cortisone+
5959183,ENG,C2608500,P,L6108512,PF,S10705315,Sinus & Allergy Maximum Strength
5961369,ENG,C2609993,P,L11014048,PF,S13709931,penicillin G benzathine 450000 UNT/ML / penicillin G procaine 150000 UNT/ML [Bicillin]
5961699,ENG,C2610308,P,L7621346,PF,S10714944,modification by host of symbiont morphology or physiology
5961725,ENG,C2610327,P,L8613158,PF,S10714974,modulation by host of symbiont catalytic activity
5961730,ENG,C2610329,P,L10432104,PF,S13008623,modulation by host of symbiont peptidase activity
5962976,ENG,C2611014,P,L2324921,PF,S10712106,G1 to G0 transition
5963305,ENG,C2611152,P,L5823491,PF,S12459955,NADP+ binding
5963313,ENG,C2611154,P,L5823487,PF,S12459950,NAD+ binding
5963580,ENG,C2611247,P,L8613252,PF,S10715704,"nuclear-transcribed mRNA catabolic process, 5'-3' exonucleolytic nonsense-mediated decay"
5963875,ENG,C2611387,P,L8613652,PF,S10713219,autophagy of symbiont cells during interaction with host
5963926,ENG,C2611424,P,L8613157,PF,S10714997,modulation by symbiont of host adenylate cyclase activity
5963935,ENG,C2611426,P,L8614643,PF,S10716005,positive regulation by symbiont of host adenylate cyclase activity
5963944,ENG,C2611428,P,L8616642,PF,S10715171,negative regulation by symbiont of host adenylate cyclase activity
5963953,ENG,C2611430,P,L8613825,PF,S10715022,modulation by symbiont of host receptor-mediated signal transduction
5963954,ENG,C2611431,P,L8614644,PF,S10716014,positive regulation by symbiont of host receptor-mediated signal transduction
5963955,ENG,C2611432,P,L8616644,PF,S10715179,negative regulation by symbiont of host receptor-mediated signal transduction
5963956,ENG,C2611433,P,L8616626,PF,S10715033,modulation by symbiont of host transmembrane receptor-mediated signal transduction
5963957,ENG,C2611434,P,L8613287,PF,S10716020,positive regulation by symbiont of host transmembrane receptor-mediated signal transduction
5963958,ENG,C2611435,P,L8613839,PF,S10715186,negative regulation by symbiont of host transmembrane receptor-mediated signal transduction
5963959,ENG,C2611436,P,L8614536,PF,S10715031,modulation by symbiont of host transmembrane receptor-mediated cAMP signal transduction
5963961,ENG,C2611437,P,L8616051,PF,S10716018,positive regulation by symbiont of host transmembrane receptor-mediated cAMP signal transduction
5963965,ENG,C2611438,P,L8613624,PF,S10712926,activation by symbiont of host transmembrane receptor-mediated cAMP signal transduction
5963966,ENG,C2611439,P,L8616893,PF,S10717450,stimulation by symbiont of host transmembrane receptor-mediated cAMP signal transduction
5963967,ENG,C2611440,P,L8615953,PF,S10715184,negative regulation by symbiont of host transmembrane receptor-mediated cAMP signal transduction
5963970,ENG,C2611441,P,L8615885,PF,S10714437,inhibition by symbiont of host transmembrane receptor-mediated cAMP signal transduction
5963971,ENG,C2611442,P,L15843153,PF,S19143815,modulation by symbiont of host G protein-coupled receptor signal transduction
5963973,ENG,C2611443,P,L15843975,PF,S19144197,positive regulation by symbiont of host G protein-coupled receptor signal transduction
5963975,ENG,C2611444,P,L15844095,PF,S19143847,negative regulation by symbiont of host G protein-coupled receptor signal transduction
5963977,ENG,C2611445,P,L8615249,PF,S10715024,modulation by symbiont of host signal transduction mediated by G-protein alpha subunit
5963978,ENG,C2611446,P,L8615361,PF,S10716015,positive regulation by symbiont of host signal transduction mediated by G-protein alpha subunit
5963979,ENG,C2611447,P,L8613838,PF,S10715180,negative regulation by symbiont of host signal transduction mediated by G-protein alpha subunit
5963980,ENG,C2611448,P,L8615250,PF,S10715025,modulation by symbiont of host signal transduction mediated by G-protein beta subunit
5963981,ENG,C2611449,P,L8613926,PF,S10716016,positive regulation by symbiont of host signal transduction mediated by G-protein beta subunit
5963982,ENG,C2611450,P,L8613179,PF,S10715181,negative regulation by symbiont of host signal transduction mediated by G-protein beta subunit
5963983,ENG,C2611451,P,L8612468,PF,S10715026,modulation by symbiont of host signal transduction mediated by G-protein gamma subunit
5963984,ENG,C2611452,P,L8614645,PF,S10716017,positive regulation by symbiont of host signal transduction mediated by G-protein gamma subunit
5963985,ENG,C2611453,P,L8612479,PF,S10715182,negative regulation by symbiont of host signal transduction mediated by G-protein gamma subunit
5963986,ENG,C2611454,P,L8613159,PF,S10715019,modulation by symbiont of host protein kinase-mediated signal transduction
5963987,ENG,C2611455,P,L8613925,PF,S10716012,positive regulation by symbiont of host protein kinase-mediated signal transduction
5963988,ENG,C2611456,P,L8612478,PF,S10715178,negative regulation by symbiont of host protein kinase-mediated signal transduction
5963989,ENG,C2611457,P,L8614534,PF,S10715005,modulation by symbiont of host calcium or calmodulin-mediated signal transduction
5963991,ENG,C2611458,P,L8612569,PF,S10716009,positive regulation by symbiont of host calcium or calmodulin-mediated signal transduction
5963993,ENG,C2611459,P,L8616643,PF,S10715175,negative regulation by symbiont of host calcium or calmodulin-mediated signal transduction
5964103,ENG,C2611516,P,L15843168,PF,S19143971,obsolete autophagy of host cells on or near symbiont surface
5964128,ENG,C2611534,P,L8616625,PF,S10714999,modulation by symbiont of host cAMP-mediated signal transduction
5964130,ENG,C2611535,P,L8616727,PF,S10716007,positive regulation by symbiont of host cAMP-mediated signal transduction
5964132,ENG,C2611536,P,L8612477,PF,S10715173,negative regulation by symbiont of host cAMP-mediated signal transduction
5964401,ENG,C2611729,P,L8617522,PF,S10716626,quercetin 3'-O-glucosyltransferase activity
5964427,ENG,C2611746,P,L8617043,PF,S10712465,NAD-dependent sorbitol dehydrogenase activity
5964557,ENG,C2611847,P,L8612699,PF,S10717240,response of host to symbiont
5965140,ENG,C2612272,P,L3493963,PF,S4025124,spliceosomal A2-2 complex formation
5965142,ENG,C2612273,P,L3497901,PF,S4025130,spliceosomal C1 complex formation
5965148,ENG,C2612276,P,L3493684,PF,S4025123,spliceosomal A2-1 complex formation
5965150,ENG,C2612277,P,L3497277,PF,S4025127,spliceosomal B1 complex formation
5965552,ENG,C2612533,P,L8614158,PF,S10715709,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 5'-3'"
5965615,ENG,C2612565,P,L7609095,PF,S10711793,3'-5' RNA helicase activity
5965824,ENG,C2612713,P,L7610086,PF,S12464254,phosphatidylinositol phosphate 4-phosphatase activity
5966836,ENG,C2613285,P,L8612570,PF,S10716010,positive regulation by symbiont of host catalytic activity
5966841,ENG,C2613286,P,L8615014,PF,S10712925,activation by symbiont of host enzyme activity
5966852,ENG,C2613294,P,L8612926,PF,S10716593,protein transport by the Tat complex
5966854,ENG,C2613295,P,L8614997,PF,S10716585,protein secretion by the TAT complex
5966884,ENG,C2613314,P,L8614533,PF,S10714998,modulation by symbiont of host adenylate cyclase-mediated signal transduction
5966885,ENG,C2613315,P,L8613923,PF,S10716006,positive regulation by symbiont of host adenylate cyclase-mediated signal transduction
5966886,ENG,C2613316,P,L8614549,PF,S10715172,negative regulation by symbiont of host adenylate cyclase-mediated signal transduction
5968084,ENG,C2613968,P,L2594967,PF,S10806051,ornata group
